part_id,description,times_held,grip_y,grip_y_min,grip_y_max,grip_matrix,in_library
30132,Minifig Gun Revolver,29,-2.9,-6.5,-1.3,1.001 0.0 -0.004 -0.001 0.969 -0.25 0.004 0.25 0.968,True
4499,Minifig Bow with Arrow,26,2.6,1.0,3.5,0.144 -0.001 -0.99 -0.247 0.968 -0.037 0.959 0.25 0.14,True
3962a,Minifig Radio with Short Handle,25,-1.0,-2.3,-0.6,0.0 -0.0 -0.999 -0.242 0.969 -0.0 0.969 0.241 -0.0,True
3962b,Minifig Radio with Long Handle,21,-1.0,-4.9,0.0,0.0 0.0 -0.999 -0.242 0.969 -0.0 0.969 0.241 0.0,True
4006,Minifig Tool Spanner/Screwdriver,17,-13.6,-16.2,-6.1,-1.008 -0.001 0.125 0.037 1.016 0.25 -0.092 0.25 -0.98,True
3847,Minifig Sword Shortsword,14,-10.5,-11.6,-10.0,0.008 0.0 -1.001 -0.251 0.969 -0.002 0.968 0.251 0.008,True
3837,Minifig Shovel,13,-11.0,-16.0,12.2,0.999 0.0 -0.0 0.0 0.969 -0.241 -0.0 0.242 0.969,True
2530,Minifig Sword Cutlass,12,-1.9,-2.9,-0.4,1.009 -0.0 0.0 -0.0 0.976 -0.253 0.0 0.252 0.976,True
3849,Minifig Lance,12,-11.0,-16.8,-8.0,0.99 0.136 0.0 -0.034 0.248 0.968 0.131 -0.96 0.25,True
4449-f1,Minifig Suitcase (Closed),11,-0.3,-3.2,0.0,-0.001 0.002 -1.014 0.968 0.25 -0.001 0.25 -0.967 -0.001,True
577b,~Moved to 64567a,10,-19.4,-20.7,-19.2,0.999 0.0 -0.0 0.0 0.969 -0.241 -0.0 0.242 0.969,True
3848,Minifig Battleaxe,9,-11.5,-15.0,0.0,-0.498 -0.0 -0.864 -0.217 0.965 0.124 0.836 0.249 -0.485,True
3959,Minifig Torch,8,-12.6,-12.6,-12.6,0.999 0.0 -0.0 0.0 0.969 -0.242 -0.0 0.242 0.97,True
30374,Bar  4L Lightsaber Blade,7,-19.4,-19.5,-9.1,0.99 -0.014 0.139 -0.048 -0.966 0.251 0.131 -0.255 -0.958,True
3846p46,Minifig Shield Triangular with Black Falcon Yellow Border Pattern,7,-10.0,-11.6,-0.3,0.981 -0.194 0.001 0.049 0.245 0.967 -0.188 -0.95 0.25,True
3846p4c,Minifig Shield Triangular with Blue Dragon Pattern,7,-10.0,-10.0,-10.0,0.998 -0.046 0.0 0.011 0.25 0.968 -0.044 -0.967 0.25,True
3846p4g,Minifig Shield Triangular with Blue Lion on Yellow Pattern,7,-11.0,-11.0,-10.0,0.976 -0.221 0.0 0.055 0.244 0.968 -0.213 -0.944 0.251,True
3846p4h,Minifig Shield Triangular with Yellow Lion on Blue Pattern,7,-11.0,-11.6,-10.0,0.998 -0.051 0.0 0.012 0.25 0.968 -0.049 -0.966 0.251,True
2488,Minifig Whip,6,-7.7,-18.0,-4.2,0.999 0.0 -0.0 -0.0 0.969 -0.242 -0.0 0.242 0.97,True
3846p45,Minifig Shield Triangular with Black Falcon Blue Border Pattern,6,-10.0,-10.0,-0.3,0.981 -0.194 0.001 0.049 0.245 0.967 -0.188 -0.95 0.25,True
2542,Minifig Tool Oar,5,-16.1,-20.2,-10.0,-0.001 0.0 -1.009 -0.253 0.976 -0.0 0.977 0.252 -0.0,True
2562,Minifig Gun Flintlock Pistol,5,-0.3,-1.3,1.2,0.999 -0.0 0.0 -0.0 0.967 -0.251 -0.001 0.25 0.967,True
4349,Minifig Loudhailer,5,-15.5,-20.0,-14.8,0.945 0.0 0.325 0.079 0.969 -0.229 -0.316 0.242 0.917,True
93247,Minifig Sword Khopesh,5,-9.1,-9.1,-7.2,0.999 -0.0 0.034 0.009 0.968 -0.25 -0.033 0.25 0.968,True
10050,Minifig Sword Uruk-Hai,4,4.0,4.0,4.0,-0.988 0.013 0.154 0.049 0.972 0.231 -0.147 0.236 -0.961,True
3835,Minifig Tool Handaxe,4,-15.5,-16.0,-15.5,0.999 0.0 -0.0 0.0 0.969 -0.241 -0.0 0.242 0.969,True
3846,Minifig Shield Triangular,4,-11.6,-11.6,-11.6,0.0 -0.0 -0.999 -0.241 0.969 0.0 0.969 0.242 -0.0,True
4449,~Moved to 4449-f1,4,-1.8,-3.2,0.0,0.085 -0.031 0.996 -0.982 0.171 0.089 -0.173 -0.985 -0.015,True
4497,Minifig Spear with Round End,4,-4.2,-13.9,-0.3,0.999 0.0 -0.035 -0.009 0.969 -0.251 0.033 0.25 0.968,True
48729b,Bar  1.5L with Clip with Truncated Sides and Hole in Shaft,4,-15.8,-20.7,-15.8,-0.007 -0.001 1.0 0.251 0.968 0.002 -0.968 0.251 -0.007,True
