part_id,companion_id,sets_together,share,lift
71075a,71184,4,1.0000,365.75
71075a,2465,4,1.0000,14.78
71075a,2456,4,1.0000,10.84
71075a,4315,4,1.0000,10.60
71075a,4085c,4,1.0000,9.14
71075a,2436a,4,1.0000,6.23
71075a,4081b,4,1.0000,5.85
71184,71075a,4,1.0000,365.75
71184,2465,4,1.0000,14.78
71184,2456,4,1.0000,10.84
71184,4315,4,1.0000,10.60
71184,4085c,4,1.0000,9.14
71184,2436a,4,1.0000,6.23
71184,4081b,4,1.0000,5.85
973p1u,3829c01,8,1.0000,4.66
973p1u,6015,7,0.8750,13.06
973p1u,3626bp04,6,0.7500,21.10
973p1u,4085c,6,0.7500,6.86
973p1u,2436a,6,0.7500,4.67
973p1u,6157,5,0.6250,6.67
973p1u,4600,5,0.6250,5.75
973p1u,2349a,4,0.5000,15.90
973p1u,3070a,4,0.5000,13.06
973p1u,3836,4,0.5000,12.83
973p1u,4214,4,0.5000,10.45
973p1u,3788,4,0.5000,4.30
3188,3189,15,1.0000,91.44
3188,4315,9,0.6000,6.36
3188,4085c,9,0.6000,5.49
3188,3788,7,0.4667,4.02
3188,4474,6,0.4000,24.38
3188,2465,6,0.4000,5.91
3188,3747a,6,0.4000,4.24
3188,4858,5,0.3333,19.51
3188,3963,5,0.3333,11.34
3188,4215a,5,0.3333,10.84
3188,3626bp04,5,0.3333,9.38
3188,6015,5,0.3333,4.98
3189,3188,15,0.9375,91.44
3189,4085c,10,0.6250,5.71
3189,4315,9,0.5625,5.96
3189,2465,7,0.4375,6.47
3189,4474,6,0.3750,22.86
3189,6015,6,0.3750,5.60
3189,3176,6,0.3750,4.00
3189,4858,5,0.3125,18.29
3189,3963,5,0.3125,10.63
3189,4215a,5,0.3125,10.16
3189,3626bp04,5,0.3125,8.79
3189,2460,5,0.3125,5.14
2437,4865a,30,0.5769,4.14
2437,4624,24,0.4615,4.25
2437,4859,23,0.4423,5.99
2437,4315,21,0.4038,4.28
2437,3821,20,0.3846,4.02
2437,4855,19,0.3654,10.69
2437,4854,18,0.3462,7.91
2437,3901,17,0.3269,4.93
2437,6015,17,0.3269,4.88
2437,4858,14,0.2692,15.76
2437,4625,13,0.2500,5.08
2437,3626bp04,12,0.2308,6.49
3626bp04,4315,23,0.4423,4.69
3626bp04,6015,19,0.3654,5.45
3626bp04,3901,17,0.3269,4.93
3626bp04,4859,16,0.3077,4.17
3626bp04,3070a,15,0.2885,7.54
3626bp04,3626bp03,14,0.2692,14.07
3626bp04,2610,13,0.2500,10.76
3626bp04,2437,12,0.2308,6.49
3626bp04,4214,11,0.2115,4.42
3626bp04,2349a,10,0.1923,6.12
3626bp04,2433,10,0.1923,5.86
