part_id,placements,rotated,share
004659a,13,13,1.0
1-4cyli,1489,1489,1.0
1-4disc,286,284,0.993
1-4edge,2252,2249,0.999
10187,13,13,1.0
10197,177,161,0.91
10201,14,9,0.643
10202,48,41,0.854
10247,140,114,0.814
10314,53,51,0.962
10928,188,175,0.931
11090,184,177,0.962
11153,14,12,0.857
11203,225,190,0.844
11211,663,475,0.716
11212,384,195,0.508
11213,43,24,0.558
11214,1684,1558,0.925
11215,128,93,0.727
11253,53,51,0.962
11303,13,1,0.077
11455,12,12,1.0
11458,232,194,0.836
11476,270,216,0.8
11477,1455,1178,0.81
11478,513,496,0.967
11609,13,11,0.846
11610,52,47,0.904
11833,31,18,0.581
11946,254,244,0.961
11947,254,242,0.953
11950,23,23,1.0
11953,12,12,1.0
11954,98,91,0.929
122c01,186,127,0.683
122c02,18,13,0.722
12825,75,55,0.733
12939,17,11,0.647
13547,52,35,0.673
13548,49,37,0.755
13564,14,13,0.929
13731,15,13,0.867
13965,126,96,0.762
14413,26,22,0.846
14417,135,127,0.941
14418,68,47,0.691
14419,27,12,0.444
14696,30,30,1.0
14704,122,98,0.803
14716,142,70,0.493
14718,61,45,0.738
14719,473,391,0.827
14720,142,134,0.944
14769,111,86,0.775
15,32,10,0.312
15038,38,37,0.974
15068,1273,1066,0.837
15068p07,28,28,1.0
15070,122,85,0.697
15092,12,12,1.0
15100,1154,1125,0.975
15207,91,82,0.901
15208,61,48,0.787
15254,36,23,0.639
15279,15,14,0.933
15303,22,11,0.5
15332,38,29,0.763
15379,116,116,1.0
15395,47,33,0.702
15397,30,20,0.667
15400,13,6,0.462
15413,71,68,0.958
15458,299,259,0.866
15459,41,41,1.0
15460,15,11,0.733
15461,116,103,0.888
15462,364,341,0.937
15470,58,29,0.5
15533,125,88,0.704
15535,224,165,0.737
15571,29,23,0.793
15573,2172,1502,0.692
15672,363,215,0.592
15706,38,35,0.921
15712,827,642,0.776
16091,23,20,0.87
165,332,329,0.991
16577,13,10,0.769
166,14521,14521,1.0
