part_id,dat_name,set_id,set_number,set_name,quantity
003432f,003432f.dat,659,10156-1,LEGO Truck,1
003432f,003432f.dat,580,2148-1,LEGO Truck,1
003432f,003432f.dat,1343,4549-1,Container Double Stack,2
004318b,004318b.dat,1174,604-1,Shell Service Car,2
004324b,004324b.dat,969,6600-1,Police Patrol,2
004486a,004486a.dat,993,367-1,Moon Landing,3
004488a,004488a.dat,1170,364-1,Harbour Scene,2
004488b,004488b.dat,1170,364-1,Harbour Scene,1
004488c,004488c.dat,1170,364-1,Harbour Scene,3
004488d,004488d.dat,1170,364-1,Harbour Scene,2
004488e,004488e.dat,1170,364-1,Harbour Scene,1
004488g,004488g.dat,1170,364-1,Harbour Scene,2
004490a,004490a.dat,974,365-1,Wild West Scene,1
004490b,004490b.dat,974,365-1,Wild West Scene,1
004490c,004490c.dat,974,365-1,Wild West Scene,1
004490d,004490d.dat,974,365-1,Wild West Scene,1
004490e,004490e.dat,974,365-1,Wild West Scene,1
004490f,004490f.dat,974,365-1,Wild West Scene,1
004490g,004490g.dat,974,365-1,Wild West Scene,1
004490h,004490h.dat,974,365-1,Wild West Scene,2
004490i,004490i.dat,974,365-1,Wild West Scene,2
004511b,004511b.dat,1175,606-1,Ambulance,2
004511b,004511b.dat,1179,623-1,Medic's Car,4
004589a,004589a.dat,1291,148-1,Central Station,2
004589b,004589b.dat,1291,148-1,Central Station,5
004589c,004589c.dat,1291,148-1,Central Station,1
004589d,004589d.dat,1291,148-1,Central Station,1
004589e,004589e.dat,1291,148-1,Central Station,2
004589e,004589e.dat,1388,165-1,Cargo Station,2
004589f,004589f.dat,1291,148-1,Central Station,2
004589f,004589f.dat,1388,165-1,Cargo Station,2
004589g,004589g.dat,1291,148-1,Central Station,1
004589h,004589h.dat,1291,148-1,Central Station,1
004589i,004589i.dat,1291,148-1,Central Station,1
004589j,004589j.dat,1291,148-1,Central Station,2
004659a,004659a.dat,573,1656-1,Evacuation Team,1
004659a,004659a.dat,1171,374-1,Fire Station,4
004659a,004659a.dat,1176,620-1,Fireman's Car,2
004659a,004659a.dat,688,6685-1,Fire Copter 1,2
004659a,004659a.dat,968,6690-1,Snorkel Pumper,4
004677a,004677a.dat,703,396-1,Thatcher Perkins Locomotive,2
004677b,004677b.dat,703,396-1,Thatcher Perkins Locomotive,2
004695a,004695a.dat,648,7813-1,Shell Tanker Wagon,4
004695b,004695b.dat,1172,377-1,Shell Service Station,3
004695b,004695b.dat,599,6378-1,Shell Service Station,3
004695b,004695b.dat,650,7816-1,Shell Tanker Wagon,2
004695d,004695d.dat,1172,377-1,Shell Service Station,2
004695d,004695d.dat,650,7816-1,Shell Tanker Wagon,2
004695e,004695e.dat,1172,377-1,Shell Service Station,1
004757b,004757b.dat,1098,164-1,Passenger Wagon,2
004757c,004757c.dat,1098,164-1,Passenger Wagon,2
004757e,004757e.dat,1098,164-1,Passenger Wagon,2
004757e,004757e.dat,1098,164-1,Passenger Wagon,4
