part_id,dat_name,aliases,description,category,keywords,author,ldraw_org,status,source_url,width_x,height_y,depth_z,body_height_y,stud_height_y,min_x,max_x,min_y,max_y,min_z,max_z,width_mm,height_mm,depth_mm,geometry,set_count,total_uses
003432f,003432f.dat,,"Sticker  2.4 x  3.0 with Lego Logo with Closed ""O""",Sticker,,J.C. Tchang [tchang],Part UPDATE 2025-04,official,https://library.ldraw.org/library/official/parts/003432f.dat,60,0.25,48,0.25,0,-30,30,-0.25,0,-24,24,24,0.1,19.2,ok,3,4
004318b,004318b.dat,,Sticker  1.1 x  1.25 with Shell Logo 1971,Sticker,"Bricklink 604.1stk01, Brickowl 297283, Rebrickable 4318stk, set 604",Alex Taylor [anathema],Part UPDATE 2023-04,official,https://library.ldraw.org/library/official/parts/004318b.dat,25,0.25,22.5,0.25,0,-12.5,12.5,-0.25,0,-11.25,11.25,10,0.1,9,ok,1,2
004324b,004324b.dat,,"Sticker  0.7 x  2.9 with Thin Black ""POLICE""",Sticker,"Set 600-2, Set 6600-1",Takeshi Takahashi [RainbowDolphin],Part UPDATE 2020-03,official,https://library.ldraw.org/library/official/parts/004324b.dat,58,0.25,14,0.25,0,-29,29,-0.25,0,-7,7,23.2,0.1,5.6,ok,1,2
004486a,004486a.dat,367 - 004486a.dat,Sticker  0.7 x  1.6 with United States Flag,Sticker,"America, moon landing, Old Glory, set 367, Star-Spangled Banner, Stars and Stripes, United States, United States of America, USA",Willy Tschager [Holly-Wood],Part UPDATE 2022-01,official,https://library.ldraw.org/library/official/parts/004486a.dat,32.5,0.25,14.5,0.25,0,-16.25,16.25,-0.25,0,-7.25,7.25,13,0.1,5.8,ok,1,3
004488a,004488a.dat,364 - 004488a.dat,"Sticker  1 x  4.5 with Black ""TRANSPORT"" on Yellow Background",Sticker,"carrier, container, dock, harbor, harbour, port, set 364, shipment, truck, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2020-01,official,https://library.ldraw.org/library/official/parts/004488a.dat,90,0.25,20,0.25,0,-45,45,-0.25,0,-10,10,36,0.1,8,ok,1,2
004488b,004488b.dat,364 - 004488b.dat,"Sticker  1.1 x  5.1 with Black ""COMPANY"" Sign on Red Background",Sticker,"dock, firm, harbor, port, set 364, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2020-03,official,https://library.ldraw.org/library/official/parts/004488b.dat,102.5,0.25,22.5,0.25,0,-51.25,51.25,-0.25,0,-11.25,11.25,41,0.1,9,ok,1,1
004488c,004488c.dat,364 - 004488c.dat,"Sticker  1 x  6 with White ""POLICE"" on Blue Background",Sticker,"dock, harbor, port, set 364, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2020-01,official,https://library.ldraw.org/library/official/parts/004488c.dat,120,0.25,20,0.25,0,-60,60,-0.25,0,-10,10,48,0.1,8,ok,1,3
004488d,004488d.dat,364 - 004488d.dat,"Sticker  1.2 x  6.6 with Black ""M/S UNION"" on Red Background",Sticker,"boat, dock, harbor, port, set 364, ship, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2020-01,official,https://library.ldraw.org/library/official/parts/004488d.dat,132,0.25,24,0.25,0,-66,66,-0.25,0,-12,12,52.8,0.1,9.6,ok,1,2
004488e,004488e.dat,364 - 004488e.dat,Sticker  2.3 x  2.3 Round with Lifepreserver,Sticker,"buoy, coastguard, dock, harbor, harbour, life ring, lifeguard, police, port, rescue, salvage, set 364, set 369, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2022-01,official,https://library.ldraw.org/library/official/parts/004488e.dat,45,0.25,45,0.25,0,-22.5,22.5,-0.25,0,-22.5,22.5,18,0.1,18,ok,1,1
004488g,004488g.dat,364 - 004488g.dat,Sticker  1.5 x  1.6 with Black Anchor on Red Background,Sticker,"boat, dock, harbor, port, set 364, ship, wharf",Willy Tschager [Holly-Wood],Part UPDATE 2020-01,official,https://library.ldraw.org/library/official/parts/004488g.dat,32.5,0.25,30,0.25,0,-16.25,16.25,-0.25,0,-15,15,13,0.1,12,ok,1,2
